Account,Expedia ID,Public Code,Reason Codes,Messages,Is Live,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
RedAwning,92975416,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 488694, Expedia Property Id: 92975416, Correlation Id: 1fec91ae-c2c5-49d4-af1c-6bf39e49b678 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18024956 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,93121517,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 488821, Expedia Property Id: 93121517, Correlation Id: f6e31182-516a-4b47-99b4-55aa7dd68602 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012878 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,92975420,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 488695, Expedia Property Id: 92975420, Correlation Id: 729cf189-64fd-459f-b12e-54ad44f8fe2b because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18024955 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,78601251,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 471836, Expedia Property Id: 78601251, Correlation Id: a573c426-1168-4505-8dc0-933f4c74a75b because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012856 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,92975415,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 488693, Expedia Property Id: 92975415, Correlation Id: d1015501-86f5-4a64-9c82-dc3f099a26f3 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012853 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,71552797,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 467792, Expedia Property Id: 71552797, Correlation Id: dd286afe-eab9-46b7-8ca0-5f18dba89999 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012865 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,70394504,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 466966, Expedia Property Id: 70394504, Correlation Id: 1f50ad06-a954-4d0b-8a3f-9d1e27641e00 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012851 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,78461740,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 471679, Expedia Property Id: 78461740, Correlation Id: fc122013-461e-4e4e-b506-df2aa8b59b12 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012854 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,71552797,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 467792, Expedia Property Id: 71552797, Correlation Id: dd286afe-eab9-46b7-8ca0-5f18dba89999 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012865 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,78461740,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 471679, Expedia Property Id: 78461740, Correlation Id: fc122013-461e-4e4e-b506-df2aa8b59b12 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012854 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,62556134,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 461783, Expedia Property Id: 62556134, Correlation Id: efdb6b1f-7689-47c3-8b7c-5d0ddb8b83a4 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18024949 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,70394504,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 466966, Expedia Property Id: 70394504, Correlation Id: 1f50ad06-a954-4d0b-8a3f-9d1e27641e00 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012851 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,78601251,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 471836, Expedia Property Id: 78601251, Correlation Id: a573c426-1168-4505-8dc0-933f4c74a75b because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18012856 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,69678893,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 465978, Expedia Property Id: 69678893, Correlation Id: cb06df09-494d-4a51-aa1c-cb16b607e200 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18219223 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,TRUE,FALSE
RedAwning,96008061,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 491878, Expedia Property Id: 96008061, Correlation Id: 57f3ef32-042b-40cd-8dda-751553ae6f0a because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18024953 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
RedAwning,96268206,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for RedAwning Property Id: 488691, Expedia Property Id: 96268206, Correlation Id: c3c88c04-fd78-495b-ae22-67476f407dbb because of property missing Supplier Finance contract details. ErrorCode: POA-WS-272, Message 18024959 - Country code MX and Currency USD are not supported for supplier and has propertyEventReasonCode InvalidProperty, Finance profile with the appropriate country and currency cannot be found, please confirm this is set up properly.",FALSE,N/A,TRUE,TRUE,TRUE,FALSE,FALSE
