EID,Property Name
104951657,Primestay - 2BR in Aykon City - Dubai
109738325,Primestay - Binghatti Canal Residences
105360006,Primestay - 2BR Act Burj Khalifa View
54678973,Palm Jumeirah
96789053,Business Bay - Damac Zada Tower 1405
105650489,Primestay - 3BR in JVC - Marwa Heights
109742628,Primestay - Zada Towers - Business Bay
103756651,Primestay - 2BR With Marina View - 52/42
106273891,Primestay -summer Residences-creek Beach
109038959,Primestay - Al Jawhara Towers - JVT
109635714,Primestay - Al Habtoor City- Meera Tower
107325109,Primestay-sparkle Tower Apartment Marina
105961603,Primestay - 2BR Burj View Opera Grand
104300589,Primestay - 1BR in Binghatti Nova - JVC
95094916,Al Meydan - Sobha Waves 902
107190768,Primestay - City Walk Residences - Dubai
109993166,Primestay - Breeze - Creek Beach
102602821,Primestay - 1BR Botanica Tower- Marina
96790193,Primestay - Bella Rose Residences - Al Barsha
105436931,Primestay - 2BR in Downtown Views-dubai
104451966,Primestay - 2BR Wilton Park Meydan-dubai
105839655,Primestay - Marina Residences Palm Dubai
110379492,Primestay - Damac Hills - Golf Vita
105960390,Primestay - Damac Towers by Paramount
108530323,Primestay - Marina Star Residences
110542838,Primestay - Creek Residences - Creek
103588467,Primestay - 2BR in 52-42 Tower -marina
108315835,Primestay - Canal Front Residences
102697775,Primestay - 2BR Damac Heights - Marina
107996418,Primestay - Oxford 212 Residences - JVC
95083663,Akoya Oxygen - Odora 162
108307396,Primestay - Celia Residences
107855898,Primestay - Creek Gate Residences
107145858,Primestay - Marina Diamond Residences
110109262,Primestay - Bellevue Towers - Downtown
107952348,Primestay - Damac Majestine Residences
105142125,Primestay - 1BR in Marina Vista - Dubai
109782244,Primestay - Marquise Square-business Bay
102677868,Primestay -1br Elite Residence - Marina
104416447,Primestay - 2BR in Al Jaddaf Near Metro
110225461,Primestay - Polo Residences - Meydan
109042305,Primestay - Palace Residences - Creek
100565845,Primestay - Downtown Views Apartments- Downtown Dubai
97042741,Al Meydan - Sobha Waves 1BR Plus Maids
104162374,"Primestay - Carson C Studio, Damac Hills"
107418614,Primestay - Address Beach JBR - Dubai
66715938,Town Square - Una Apartment 531
104807921,Primestay - 2BR in Aykon City - Dubai
104193150,Primestay - 1BR Sea View in Beach Isle
96790054,Downtown - Burj Royale 2909
104236042,Primestay -2br in Aykon City -dubai
100972507,"Primestay - Forte 1 1br, Downtown"
104837813,Primestay - 1BR Vera Residence - Dubai
101604303,Primestay - Harbour Point T2 in Creek
108592685,Primestay - Empire Residences - JVC
103758001,Primestay - 2BR in JVC - Marwa Heights
104455471,Primestay - 1BR in Catch Residence - JVC
105995365,Primestay - La Vie JBR - Dubai Marina
105517478,Primestay - LIV 1BR Marina View - Dubai
109806918,Primestay - Harbour Gate - Creek Harbour
107561673,Primestay - Act 1 Act 2 Tower 2 Downtown
102673340,Primestay -1br- Sterling House-dubai
104921976,Primestay - 2BR Plus Maids Room -midtown
105772875,Primestay - Vida Residences -creek Beach
109603574,Primestay - 2020 Marquis - Arjan
96788920,JVC - Belgravia Heights 1 1008
104423544,Primestay-elegant 1BR in Downtown Dubai
104265562,Primestay-elegant Studio in Business Bay
105652469,Primestay - 2BR in Binghatti Crest - JVC
107614777,Primestay - Reva Residences Business Bay
107421196,Primestay - Binghatti Heights - JVC
107152025,Primestay - Rimal Residences - JBR
103777092,Primestay - 1BR in District One - Dubai
103587776,Primestay -1 Residence 1BR in Za'abeel
109675926,Primestay - 15 Northside - Business Bay
100988451,Primestay - Act One | Act Two Apartments- Downtown Dubai
104845081,Primestay - Azizi Riviera 9 1BR - Meydan
108479910,Primestay - Shoreline Residences - Palms
85508572,Primestay - Vera Residences Business Bay
104848097,Primestay - Studio in Business Bay-dubai
66846732,Palm Jumeirah - Palm Views East 117
104846434,Primestay - Azizi Riviera Residences - Al MeydanÂ 
104068027,Primestay -2br Seaview - Beach Vista
66700456,Business Bay Elite Residence 2002
105310773,Primestay - Marina Vista 2 1BR - Dubai
103705505,Primestay - District One Residences - MBR
107913302,Primestay - Creek Vistas Reserve -meydan
105842310,Primestay - ME DO RE Residences - JLT
104114564,Primestay -3br Villa With Private Garden
104082992,Primestay - Address Opera Residences - Downtown Dubai
95095922,Primestay - Prime Views Apartments - Meydan Dubai
104240522,Primestay - 2BR Paramount Midtown-dubai
109799369,Primestay - The Cove - Creek Harbour
100007907,"Primestay - Aster, Damac Hills 2"
106103964,Primestay - Al Andalus JGE Apartments
110049460,Primestay - Palm Jumeirah - Palm Tower
110110198,Primestay - Index Towers - Difc
109064231,Primestay - Serenity Lakes Residences
104944917,Primestay -2br in Downtown Views -dubai
104187390,Primestay - 2BR Fountain View - Downtown
96479146,Business Bay - Reva Residences 1010
102672897,Primestay - 1BR Sterling House in Dubai
103832454,Primestay - Spacious 2BR in Arjan -dubai
104237359,Primestay - 1BR District One - Al Meydan
106276015,Primestay - Torch Towers - Dubai Marina
66918051,Sophisticated & Classy 2BR in Downtown
104834209,Primestay - 2BR Aykon Tower - Dubai
106493092,Primestay - Gardenia Living Residences
110065210,Primestay - MJL Residences - Jumeirah
66918046,Extravagant Modern 2BR in Downtown
103803997,Primestay - 1BR + Maids in Meydan Dubai
