eg_property_id,YR ID,Feedback,YR Feedback,
48658297,25332,Missing Images + Active products + Inventory,,
48663435,33592,Missing Images + Active products + Inventory,,
49255182,38050,Missing Active Products + Inventory,,
51293811,38314,Missing Images + Active products + Inventory,,
54154591,27139,Missing Images + Active products + Inventory,,
55223189,2284,Missing Images + Active products + Inventory,,
55223760,2276,Missing Images + Active products + Inventory,,
55224575,36988,Missing Active Products + Inventory,,
55224732,42706,Missing Active Products + Inventory,,
55224746,2217,Missing Images + Active products + Inventory,,
55225402,2280,Missing Images + Active products + Inventory,,
55226844,2269,Missing Images + Active products + Inventory,,
59051133,48609,Missing Images + Active products + Inventory,OFF EXPE,
59570134,48864,Missing Images + Active products + Inventory,,
59798046,49104,Missing Images + Active products + Inventory,,
65561000,53692,Missing Images + Active products + Inventory,,
66173270,51756,Missing Images + Active products + Inventory,,
66173308,53761,Missing Active Products + Inventory,Access denied: your account is not authorized to manage this property,
66173309,53763,Missing Images + Active products + Inventory,,
66173324,53877,Missing Active Products + Inventory,Access denied: your account is not authorized to manage this property,
66173325,53879,Missing Active Products + Inventory,Access denied: your account is not authorized to manage this property,
68039609,56866,Missing Active Products + Inventory,OFF EXPE,
68039618,56894,Missing Active Products + Inventory,,
68726982,57874,Missing Active Products + Inventory,OFF EXPE,
69770853,59351,Missing Active Products + Inventory,Access denied: your account is not authorized to manage this property,
71270238,60812,Missing Images + Active products + Inventory,OFF EXPE,
71512808,57085,Missing Images + Active products + Inventory,,
71512811,59631,Missing Images + Active products + Inventory,,
71611411,61212,Missing Images + Active products + Inventory,,
73642613,34102,Missing Images + Active products + Inventory,,
74440607,63952,Missing Images + Active products + Inventory,,
74440608,63953,Missing Images + Active products + Inventory,,
74440609,63954,Missing Images + Active products + Inventory,OFF EXPE,
74440610,63955,Missing Images + Active products + Inventory,,
74440611,63956,Missing Images + Active products + Inventory,,
74440616,64614,Missing Images + Active products + Inventory,,
74440619,64683,Missing Images + Active products + Inventory,,
74440636,64896,Missing Images + Active products + Inventory,,
75200571,51934,Missing Images + Active products + Inventory,OFF EXPE,
75819791,66574,Missing Images + Active products + Inventory,deactived,
76412785,67865,Missing Images + Active products + Inventory,,
76412788,67906,Missing Images + Active products + Inventory,,
76412793,67951,Missing Images + Active products + Inventory,,
76412794,67952,Missing Active Products + Inventory,Access denied: your account is not authorized to manage this property,
76412796,67953,Missing Images + Active products + Inventory,,
76551523,64426,Missing Images + Active products + Inventory,unlisted,
76551525,64969,Missing Images + Active products + Inventory,,
76551535,67182,Missing Images + Active products + Inventory,,
76551560,67784,Missing Images + Active products + Inventory,,
76551570,67964,Missing Images + Active products + Inventory,,
76551571,67966,Missing Images + Active products + Inventory,,
76551573,67981,Missing Images + Active products + Inventory,,
76551574,67989,Missing Images + Active products + Inventory,,
76551583,68027,Missing Images + Active products + Inventory,,
76551584,68019,Missing Images + Active products + Inventory,,
76551587,68035,Missing Images + Active products + Inventory,,
76551618,68107,Missing Images + Active products + Inventory,,
76551619,68109,Missing Images + Active products + Inventory,,
76551620,68110,LISTING REMOVED FROM STOP SELL,,active
76551621,68111,Missing Images + Active products + Inventory,,
76551622,68112,Missing Images + Active products + Inventory,,
76551623,68114,Missing Images + Active products + Inventory,,
76551625,68160,Missing Images + Active products + Inventory,,
76551629,68178,Missing Images + Active products + Inventory,,
76551631,68179,Missing Images + Active products + Inventory,,
76551632,68180,Missing Images + Active products + Inventory,,
76551637,68182,Missing Images + Active products + Inventory,,
76551639,68187,Missing Images + Active products + Inventory,,
76551673,68250,Missing Images + Active products + Inventory,,
76551700,68272,Missing Images + Active products + Inventory,,
76551705,68316,Missing Images + Active products + Inventory,,
76551710,68351,Missing Images + Active products + Inventory,,
76551715,68330,Missing Images + Active products + Inventory,,
76664990,68004,Missing Active Products + Inventory,OFF EXPE,
76665058,68531,Missing Images + Active products + Inventory,,
76801677,68677,Missing Images + Active products + Inventory,,
76801678,68679,Missing Images + Active products + Inventory,,
76801680,68680,Missing Images + Active products + Inventory,,
76801684,68685,Missing Images + Active products + Inventory,,
76801686,68688,Missing Images + Active products + Inventory,,
76801687,68690,Missing Images + Active products + Inventory,,
76801711,68777,Missing Images + Active products + Inventory,,
76801714,68782,Missing Images + Active products + Inventory,,
76801715,68783,Missing Images + Active products + Inventory,,
76987327,68785,Missing Images + Active products + Inventory,,
76987328,68784,Missing Images + Active products + Inventory,,
76987487,69211,Missing Active Products + Inventory,,
78179019,69536,Missing Images + Active products + Inventory,,
78179133,70289,Missing Images + Active products + Inventory,,
78368996,34100,Missing Images + Active products + Inventory,,
78368999,34101,Missing Images + Active products + Inventory,,
78610108,8054,Missing Images + Active products + Inventory,,
78610114,39841,Missing Images + Active products + Inventory,,
78610223,66949,Missing Active Products + Inventory,,
78610239,69535,Missing Active Products + Inventory,,
78610267,70445,Missing Images + Active products + Inventory,,
78610323,70839,Missing Images + Active products + Inventory,,
78610343,70990,Missing Images + Active products + Inventory,,
78610352,71014,Missing Images + Active products + Inventory,,
78610383,71103,Missing Images + Active products + Inventory,,
78610390,71129,Missing Images + Active products + Inventory,,
79363234,1650,Missing Active Products + Inventory,,
79363550,58827,Missing Active Products + Inventory,unlisted,
79363554,58828,Missing Active Products + Inventory,unlisted,
79363924,69685,Missing Images + Active products + Inventory,OFF EXPE,
79364064,70978,Missing Images + Active products + Inventory,,
79364148,71215,Missing Images + Active products + Inventory,,
79364315,71402,Missing Images + Active products + Inventory,,
79364489,71543,Missing Images + Active products + Inventory,unlisted,
79364641,71795,Missing Images + Active products + Inventory,,
80899709,72121,Missing Images + Active products + Inventory,,
80900003,58156,Missing Images + Active products + Inventory,,
80900390,72028,Missing Images + Active products + Inventory,,
80904498,70295,Missing Images + Active products + Inventory,,
80904504,70659,Missing Images + Active products + Inventory,,
80905356,72074,Missing Images + Active products + Inventory,,
80908330,72081,Missing Active Products + Inventory,,
80909514,71976,Missing Images + Active products + Inventory,,
80910056,72143,Missing Images + Active products + Inventory,,
80910133,72034,Missing Images + Active products + Inventory,,
80910344,69543,Missing Images + Active products + Inventory,,
80910357,71153,Missing Images + Active products + Inventory,,
80910708,72039,Missing Images + Active products + Inventory,,
80910715,72024,Missing Images + Active products + Inventory,,
80910855,72022,Missing Images + Active products + Inventory,,
80918911,72021,Missing Active Products + Inventory,OFF EXPE,
80921491,69754,Missing Images + Active products + Inventory,,
80923014,72008,Missing Images + Active products + Inventory,,
80923048,71358,Missing Active Products + Inventory,,
80923379,71907,Missing Images + Active products + Inventory,,
80923420,71998,Missing Images + Active products + Inventory,,
80923488,72025,Missing Images + Active products + Inventory,,
96752773,86454,Missing Images + Number of Bedrooms + Active products + Inventory,OFF EXPE,
96783911,86580,Missing Images + Active products + Inventory,OFF EXPE,
101050943,94513,Missing Images + Active products + Inventory,OFF EXPE,
