EXPE ID,YR ID,Type of rental,Rental basis,Country,Cleaning mandatory,Cleaning fee,Security deposit,Original currency,Rental license number,please fence off Hotel Collect Bookings from Argentina
106032774,88746,Apartment,Entire house or apartment,HR,,,,EUR,,
102501772,92779,Apartment,Entire house or apartment,AE,mandatory,123.87,545,USD,,
106181087,96476,Apartment,Entire house or apartment,IT,included,,300,EUR,068028CVP0367,
106112442,98868,Villa,Entire house or apartment,NL,mandatory,96.77,200,EUR,,
102727209,99992,Villa,Entire house or apartment,US,mandatory,172.31,,USD,87388,
102727248,99994,Villa,Entire house or apartment,US,mandatory,172.31,,USD,87388,
102727263,99995,Villa,Entire house or apartment,US,mandatory,172.31,,USD,87388,
102727275,99996,Villa,Entire house or apartment,US,mandatory,172.31,,USD,87388,
102727280,99997,Villa,Entire house or apartment,US,mandatory,172.31,,USD,87388,
106184840,100490,Holiday house,Entire house or apartment,MA,mandatory,25.81,,EUR,100,
105995558,102465,House,Entire house or apartment,DO,included,,,USD,n/a,
105764698,102781,Holiday house,Entire house or apartment,IT,,,,EUR,Alloggio ad uso turistico - VDA - NUS - n. 0007,
106071400,102944,Villa,Entire house or apartment,ZA,included,,,ZAR,,
105596574,104005,Apartment,Entire house or apartment,IT,mandatory,41.35,,EUR,,
106099987,104019,Apartment,Entire house or apartment,IT,,,,EUR,616000035,
106182391,104188,Apartment,Entire house or apartment,GR,,,,EUR,1601164,
106199571,104263,Chalet,Entire house or apartment,CO,mandatory,42,217,USD,195450,
106199971,104270,Apartment,Entire house or apartment,CO,mandatory,42,217,USD,188305,
105990021,104441,Apartment,Entire house or apartment,PT,mandatory,193.55,300,EUR,19996,
106060158,104461,Villa,Entire house or apartment,ID,included,,850,USD,,
106102412,104466,Apartment,Entire house or apartment,ZA,mandatory,7,,USD,,
106150891,104477,House,Entire house or apartment,GR,,,,EUR,2012298,
106072461,104600,Villa,Entire house or apartment,IT,mandatory,96.49,300,EUR,BA07200391000008906,
105986082,104619,Villa,Entire house or apartment,GR,,,1000,EUR,2142690,
105995371,104621,Villa,Entire house or apartment,GR,,,1000,EUR,2142690,
105995627,104638,Apartment,Entire house or apartment,HR,included,,250,EUR,,
105995675,104643,Apartment,Entire house or apartment,IT,,,200,EUR,0,
106151106,104645,Apartment,Entire house or apartment,CZ,,,108,EUR,,
105995740,104646,Villa,Entire house or apartment,GR,optional,160.99,600,EUR,2708759,
106181766,104649,Apartment,Entire house or apartment,CY,mandatory,81.25,,GBP,x,
106039027,104880,Apartment,Entire house or apartment,IT,mandatory,34.46,150,EUR,,
106143388,105055,Holiday house,Entire house or apartment,IT,mandatory,86.42,,EUR,LE07504391000049999,
106092916,105061,Apartment,Entire house or apartment,GR,mandatory,15.46,,EUR,2628617,
106117951,105121,Guest room,Room with shared facilities,IT,included,,,EUR,,
106103953,105122,Guest room,Room with own facilities,IT,included,,,EUR,,
106147961,105181,Apartment,Entire house or apartment,TH,optional,1022.36,3000,THB,,
106156947,105202,Villa,Entire house or apartment,BB,mandatory,185.75,1000,USD,,
106181740,105205,Apartment,Entire house or apartment,AT,mandatory,82.19,,EUR,385218250,
106162847,105221,Villa,Entire house or apartment,IT,mandatory,357.77,500,EUR,,
106162998,105223,Villa,Entire house or apartment,IT,mandatory,357.77,500,EUR,,
106193504,105451,Apartment,Entire house or apartment,PR,mandatory,77.42,,USD,,
106206511,105483,House,Entire house or apartment,GR,mandatory,38.65,,EUR,2682850,